"Year","c","MWh","unit","kwh_veh_total"
"2020","Sweden",1836.5803,29845,61.5372859775507
"2020","Switzerland",1224.3675,20010,61.1877811094453
"2020","Thailand",81.3306,1730,47.0119075144509
"2020","Turkey",62.2027,891,69.8122334455668
"2020","United Arab Emirates",144.2424,1999,72.1572786393197
"2020","United Kingdom",6953.8667,112911,61.587150056239
"2020","United States",19437.3643,256143,75.8848155132094
"2020","Uruguay",6.0266,132,45.6560606060606
"2020","Western Europe non EU",168.9725,2588,65.2907650695518
"2021","Algeria",0.0533,1,53.3
"2021","Argentina",3.479,85,40.9294117647059
"2021","Australia",1059.0419,17193,61.5972721456407
"2021","Austria",2268.3117,35552,63.8026468271827
"2021","Belgium",1530.9342,22865,66.9553553465996
"2021","Brazil",139.0049,2209,62.9266183793572
"2021","Canada",4252.2572,58726,72.4084255695944
"2021","Chile",29.3163,555,52.8221621621622
"2021","China",136876.76444,2795045,48.9712202987787
"2021","Colombia",44.8945,952,47.1580882352941
"2021","Czechia",181.4563,2813,64.5063277639531
"2021","Denmark",1740.7118,26265,66.274959071007
"2021","Eastern Europe/Central Asia",111.8079,1598,69.9673967459324
"2021","Egypt",3.1381,68,46.1485294117647
"2021","Ethiopia",3.65,85,42.9411764705882
"2021","Finland",700.5946,10312,67.9397401086113
"2021","France",8950.9748,182173,49.1344754711181
"2021","Germany",20056.0321,367467,54.5791379906223
"2021","Greece",139.521,2211,63.1031207598372
"2021","Hungary",267.4133,4588,58.28537489102
"2021","India",491.9647,15302,32.1503528950464
"2021","Indonesia",45.0372,821,54.8565164433618
"2021","Ireland",580.1625,9362,61.9699316385388
"2021","Israel",747.0684,11504,64.9398817802503
"2021","Italy",3237.9092,72942,44.3901894656028
"2021","Japan",1138.5585,20248,56.230664757013
"2021","Kenya",0.87,15,58
"2021","Malaysia",21.7126,288,75.3909722222222
"2021","Mexico",242.3656,3546,68.3490129723632
"2021","Morocco",7.4546,257,29.0062256809339
