"c","Year","capacity_scenario","kwh_veh"
"Netherlands",2017,"Baseline",52.6240317312179
"Netherlands",2017,"Low Capacity",52.6240317312179
"Netherlands",2017,"High Capacity",52.6240317312179
"New Zealand",2017,"Baseline",53.6468158347676
"New Zealand",2017,"Low Capacity",53.6468158347676
"New Zealand",2017,"High Capacity",53.6468158347676
"Norway",2017,"Baseline",45.4813394457668
"Norway",2017,"Low Capacity",45.4813394457668
"Norway",2017,"High Capacity",45.4813394457668
"Poland",2017,"Baseline",35.9588129496403
"Poland",2017,"Low Capacity",35.9588129496403
"Poland",2017,"High Capacity",35.9588129496403
"Portugal",2017,"Baseline",31.982219938335
"Portugal",2017,"Low Capacity",31.982219938335
"Portugal",2017,"High Capacity",31.982219938335
"Rest of EU",2017,"Baseline",42.3468241042345
"Rest of EU",2017,"Low Capacity",42.3468241042345
"Rest of EU",2017,"High Capacity",42.3468241042345
"Rest of Middle East/Africa",2017,"Baseline",79.8385093167702
"Rest of Middle East/Africa",2017,"Low Capacity",79.8385093167702
"Rest of Middle East/Africa",2017,"High Capacity",79.8385093167702
"Rest of South America",2017,"Baseline",30.8181818181818
"Rest of South America",2017,"Low Capacity",30.8181818181818
"Rest of South America",2017,"High Capacity",30.8181818181818
"Rest of South Asia/Oceania",2017,"Baseline",55.6612903225806
"Rest of South Asia/Oceania",2017,"Low Capacity",55.6612903225806
"Rest of South Asia/Oceania",2017,"High Capacity",55.6612903225806
"Romania",2017,"Baseline",31.6536170212766
"Romania",2017,"Low Capacity",31.6536170212766
"Romania",2017,"High Capacity",31.6536170212766
"Russia",2017,"Baseline",63.5702702702703
"Russia",2017,"Low Capacity",63.5702702702703
"Russia",2017,"High Capacity",63.5702702702703
"Singapore",2017,"Baseline",53.8635514018692
"Singapore",2017,"Low Capacity",53.8635514018692
"Singapore",2017,"High Capacity",53.8635514018692
"Slovakia",2017,"Baseline",28.4823008849557
"Slovakia",2017,"Low Capacity",28.4823008849557
"Slovakia",2017,"High Capacity",28.4823008849557
"South Africa",2017,"Baseline",30
"South Africa",2017,"Low Capacity",30
"South Africa",2017,"High Capacity",30
"South Korea",2017,"Baseline",28.956550328781
"South Korea",2017,"Low Capacity",28.956550328781
"South Korea",2017,"High Capacity",28.956550328781
"Spain",2017,"Baseline",32.3901570888845
"Spain",2017,"Low Capacity",32.3901570888845
"Spain",2017,"High Capacity",32.3901570888845
"Sweden",2017,"Baseline",45.4623436196831
"Sweden",2017,"Low Capacity",45.4623436196831
"Sweden",2017,"High Capacity",45.4623436196831
"Switzerland",2017,"Baseline",54.6823700543057
"Switzerland",2017,"Low Capacity",54.6823700543057
"Switzerland",2017,"High Capacity",54.6823700543057
"Thailand",2017,"Baseline",33.4268292682927
"Thailand",2017,"Low Capacity",33.4268292682927
"Thailand",2017,"High Capacity",33.4268292682927
"Turkey",2017,"Baseline",32.1818181818182
"Turkey",2017,"Low Capacity",32.1818181818182
"Turkey",2017,"High Capacity",32.1818181818182
"United Arab Emirates",2017,"Baseline",84.1497685185185
"United Arab Emirates",2017,"Low Capacity",84.1497685185185
"United Arab Emirates",2017,"High Capacity",84.1497685185185
"United Kingdom",2017,"Baseline",44.8533892300425
"United Kingdom",2017,"Low Capacity",44.8533892300425
"United Kingdom",2017,"High Capacity",44.8533892300425
"United States",2017,"Baseline",63.066885660731
"United States",2017,"Low Capacity",63.066885660731
"United States",2017,"High Capacity",63.066885660731
"Uruguay",2017,"Baseline",43.4818181818182
"Uruguay",2017,"Low Capacity",43.4818181818182
"Uruguay",2017,"High Capacity",43.4818181818182
"Venezuela",2017,"Baseline",30.8181818181818
"Venezuela",2017,"Low Capacity",30.8181818181818
"Venezuela",2017,"High Capacity",30.8181818181818
"Western Europe non EU",2017,"Baseline",31.2583426651736
"Western Europe non EU",2017,"Low Capacity",31.2583426651736
"Western Europe non EU",2017,"High Capacity",31.2583426651736
"Argentina",2018,"Baseline",33
"Argentina",2018,"Low Capacity",33
"Argentina",2018,"High Capacity",33
"Australia",2018,"Baseline",81.0682196339434
"Australia",2018,"Low Capacity",81.0682196339434
"Australia",2018,"High Capacity",81.0682196339434
"Austria",2018,"Baseline",39.9596129923981
"Austria",2018,"Low Capacity",39.9596129923981
"Austria",2018,"High Capacity",39.9596129923981
"Belgium",2018,"Baseline",45.7843217450579
"Belgium",2018,"Low Capacity",45.7843217450579
"Belgium",2018,"High Capacity",45.7843217450579
"Brazil",2018,"Baseline",52.9066666666667
"Brazil",2018,"Low Capacity",52.9066666666667
"Brazil",2018,"High Capacity",52.9066666666667
"Canada",2018,"Baseline",57.5779321349791
"Canada",2018,"Low Capacity",57.5779321349791
